BikeId;Rental Start Date;Rental End Date;Duration;Fare (in Cents);Starting Location;Ending Location;Rough Distance (KM)
1303;27.11.2021 21:45;27.11.2021 23:09;01:23:15;350;37.9473718,32.5221351;37.947418212890625,32.52212905883789;0.005187993
1265;27.11.2021 19:55;27.11.2021 20:15;00:20:42;200;37.892639,32.478047;37.89262008666992,32.478031158447266;0.002520971
1060;27.11.2021 19:52;27.11.2021 20:15;00:22:45;200;37.8926237,32.4780731;37.89263916015625,32.478050231933594;0.002642365
1122;27.11.2021 18:54;27.11.2021 20:01;01:07:01;200;37.9473292,32.5221229;37.97911071777344,32.5172004699707;3.560193523
1258;27.11.2021 17:01;27.11.2021 17:35;00:34:27;200;37.9041959,32.4954118;37.947509765625,32.52214050292969;5.356568833
1215;27.11.2021 15:46;27.11.2021 16:24;00:37:26;200;37.9245249,32.5077474;37.948299407958984,32.493778228759766;2.913668267
1145;27.11.2021 15:43;27.11.2021 15:46;00:02:50;50;37.9244748,32.5077135;37.924530029296875,32.50777053833008;0.007921146
1231;27.11.2021 15:11;27.11.2021 15:44;00:33:23;200;37.86450864623238,32.45365129081776;37.875099182128906,32.484920501708984;2.986711079
1302;27.11.2021 14:57;27.11.2021 15:13;00:15:53;200;37.8917742,32.5026335;37.87485122680664,32.49348831176758;2.045762868
1025;27.11.2021 14:56;27.11.2021 15:33;00:36:54;200;37.9474513,32.5219517;37.904380798339844,32.495201110839844;5.333094027
1075;27.11.2021 14:49;27.11.2021 14:56;00:06:39;50;37.8917968,32.502622;37.8914909362793,32.50260925292969;0.034028884
1160;27.11.2021 13:08;27.11.2021 13:24;00:16:43;200;37.8487961,32.4989896;37.86909103393555,32.48672103881836;2.500549221
1311;27.11.2021 11:22;27.11.2021 11:23;00:01:13;50;37.9246801,32.5076164;37.9244384765625,32.5077018737793;0.02789371
1163;27.11.2021 10:38;27.11.2021 10:55;00:17:00;200;37.8644125,32.4535821;37.87068176269531,32.483421325683594;2.710490103
1052;27.11.2021 10:35;27.11.2021 10:37;00:01:54;50;37.864372,32.4535759;37.8642692565918,32.453590393066406;0.011495169
1083;27.11.2021 06:53;27.11.2021 06:57;00:04:00;50;37.89267997458915,32.47805396687718;37.892601013183594,32.47798156738281;0.010837548
1050;27.11.2021 06:26;27.11.2021 06:48;00:22:51;200;37.8643958,32.4535795;37.8720817565918,32.498779296875;4.058640157
1052;27.11.2021 06:23;27.11.2021 06:25;00:02:13;50;37.8643821,32.4535776;37.864410400390625,32.45354080200195;0.004509717
1275;27.11.2021 06:20;27.11.2021 06:46;00:25:41;200;37.8644665,32.4535596;37.8720703125,32.49882125854492;4.062036171
1163;27.11.2021 06:12;27.11.2021 06:18;00:05:56;50;37.8617728,32.4452854;37.864410400390625,32.45351028442383;0.779324163
1121;26.11.2021 22:41;26.11.2021 22:47;00:06:23;50;37.874053299237545,32.48957280470505;37.87017822265625,32.48624038696289;0.520791639
1292;26.11.2021 21:25;26.11.2021 21:56;00:30:28;200;37.8628463,32.5432503;37.86286926269531,32.543331146240234;0.007542532
1235;26.11.2021 20:41;26.11.2021 20:49;00:07:44;50;38.022523645967354,32.51252202221307;38.01372146606445,32.52128982543945;1.24414532
1272;26.11.2021 20:40;26.11.2021 20:50;00:10:12;50;38.022495,32.5125919;38.01408004760742,32.52143859863281;1.214959746
1208;26.11.2021 20:38;26.11.2021 20:48;00:10:37;50;38.022501,32.5125853;38.01375961303711,32.52125930786133;1.233756989
1276;26.11.2021 19:22;26.11.2021 19:29;00:06:23;50;38.0224844,32.5125731;38.019771575927734,32.51543045043945;0.391972739
1264;26.11.2021 18:40;26.11.2021 18:59;00:19:20;200;37.9791237,32.5170957;37.9788703918457,32.51726150512695;0.031694621
1114;26.11.2021 18:37;26.11.2021 18:40;00:02:17;50;37.9790858,32.5171449;37.97914123535156,32.5172004699707;0.007856149
1234;26.11.2021 18:35;26.11.2021 18:36;00:01:11;50;37.9790156,32.5171371;37.97909164428711,32.517120361328125;0.00858207
1127;26.11.2021 18:14;26.11.2021 18:21;00:06:23;50;38.0087487,32.5226934;38.00907897949219,32.5275993347168;0.431385596
1058;26.11.2021 18:14;26.11.2021 18:21;00:07:11;50;38.0095629,32.522542;38.00907897949219,32.527618408203125;0.447995862
1141;26.11.2021 16:43;26.11.2021 17:20;00:37:44;200;37.8844261,32.4576011;37.86328887939453,32.47024917602539;2.599349123
1121;26.11.2021 15:47;26.11.2021 16:04;00:16:44;200;37.8765768,32.4739989;37.873939514160156,32.489471435546875;1.389351035
1320;26.11.2021 15:46;26.11.2021 15:46;00:00:33;0;37.8765864,32.474026;37.87643051147461,32.47391891479492;0.01971819
1259;26.11.2021 15:40;26.11.2021 15:42;00:01:34;50;37.8883802,32.4936475;37.88835144042969,32.4936408996582;0.00324995
1259;26.11.2021 15:24;26.11.2021 15:38;00:14:35;200;37.870463,32.4862149;37.88838,32.4936483;2.096380122
1093;26.11.2021 15:22;26.11.2021 15:40;00:17:41;200;37.8704035,32.4862322;37.888118743896484,32.49346160888672;2.069512932
1251;26.11.2021 15:22;26.11.2021 15:38;00:16:48;200;37.870445138441276,32.48619863595619;37.88840866088867,32.4936408996582;2.101538565
1299;26.11.2021 15:22;26.11.2021 15:39;00:17:40;200;37.8703805,32.4862446;37.8880615234375,32.4935302734375;2.067413495
1036;26.11.2021 15:21;26.11.2021 15:23;00:01:31;50;37.8704344,32.4862683;37.870330810546875,32.48622131347656;0.012234744
